added_coupling_edges,nodes,edges,connected_components,largest_component
0,16,8,8,2
1,16,9,7,4
2,16,10,7,4
3,16,11,6,6
4,16,12,6,6
5,16,13,5,8
6,16,14,5,8
7,16,15,4,10
8,16,16,4,10
9,16,17,3,12
10,16,18,3,12
11,16,19,2,14
12,16,20,2,14
13,16,21,1,16
14,16,22,1,16
